district_code,district_name,pop_estimate_2015,year
L06, Yau Oi North,"15,090 ",2015
L07, Tsui Hing,"18,323 ",2015
L08, Shan King,"17,898 ",2015
L09, King Hing,"15,315 ",2015
L10, Hing Tsak,"16,134 ",2015
L11, San Hui,"18,899 ",2015
L12, Sam Shing,"21,287 ",2015
L13, Hanford,"20,700 ",2015
L14, Fu Sun,"19,390 ",2015
L15, Yuet Wu,"13,324 ",2015
L16, Siu Hei,"13,096 ",2015
L17, Wu King,"13,747 ",2015
L18, Butterfly,"17,013 ",2015
L19, Lok Tsui,"14,544 ",2015
L20, Lung Mun,"17,252 ",2015
L21, San King,"14,585 ",2015
L22, Leung King,"14,416 ",2015
L23, Tin King,"16,443 ",2015
L24, Po Tin,"19,100 ",2015
L25, Kin Sang,"16,393 ",2015
L26, Siu Hong,"14,963 ",2015
L27, Prime View,"19,254 ",2015
L28, Fu Tai,"20,436 ",2015
L29, Tuen Mun Rural,"21,714 ",2015
M01, Fung Nin,"19,454 ",2015
M02, Shui Pin,"19,277 ",2015
M03, Nam Ping,"16,800 ",2015
M04, Pek Long,"17,016 ",2015
M05, Yuen Long Centre,"17,543 ",2015
M06, Yuen Lung,"13,959 ",2015
M07, Fung Cheung,"15,611 ",2015
M08, Shap Pat Heung East,"15,217 ",2015
M09, Shap Pat Heung Central,"20,104 ",2015
M10, Shap Pat Heung West,"21,626 ",2015
M11, Ping Shan South,"16,337 ",2015
M12, Ping Shan Central,"14,201 ",2015
M13, Ping Shan North,"12,799 ",2015
M14, Ha Tsuen,"15,364 ",2015
M15, Tin Shing,"21,328 ",2015
M16, Shui Oi,"18,325 ",2015
M17, Shui Wah,"15,299 ",2015
M18, Chung Wah,"15,311 ",2015
M19, Yuet Yan,"19,339 ",2015
M20, Fu Yan,"19,773 ",2015
M21, Yat Chak,"19,122 ",2015
M22, Tin Heng,"22,520 ",2015
M23, Wang Yat,"20,242 ",2015
M24, Ching King,"19,925 ",2015
M25, Kingswood North,"23,223 ",2015
M26, Tsz Yau,"14,265 ",2015
M27, Yiu Yau,"14,029 ",2015
M28, Tin Yiu,"14,424 ",2015
M29, Kingswood South,"17,332 ",2015
M30, Chung Pak,"15,681 ",2015
M31, Fairview Park,"16,460 ",2015
M32, San Tin,"20,990 ",2015
M33, Kam Tin,"13,462 ",2015
M34, Pat Heung North,"13,208 ",2015
M35, Pat Heung South,"19,645 ",2015
N01, Luen Wo Hui ,"19,439",2015
N02, Fanling Town ,"13,501",2015
N03, Cheung Wah ,"17,874",2015
N04, Wah Do ,"19,452",2015
N05, Wah Ming ,"17,151",2015
N06, Yan Shing ,"20,102",2015
N07, Shing Fuk ,"14,982",2015
N08, Fanling South ,"15,365",2015
N09, Ching Ho ,"20,610",2015
N10, Yu Tai ,"17,154",2015
N11, Sheung Shui Rural,"21,578",2015
N12, Choi Yuen,"17,909",2015
N13, Shek Wu Hui,"19,736",2015
N14, Tin Ping West ,"15,062",2015
N15, Fung Tsui ,"14,972",2015
N16, Sha Ta ,"14,263",2015
N17, Tin Ping East ,"17,298",2015
N18, Queen's Hill ,"17,962",2015
P01, Tai Po Hui ,"16,037 ",2015
P02, Tai Po Central ,"14,109 ",2015
P03, Chung Ting ,"14,946 ",2015
P04, Tai Yuen ,"14,379 ",2015
P05, Fu Heng ,"16,576 ",2015
P06, Yee Fu ,"16,606 ",2015
P07, Fu Ming Sun ,"14,282 ",2015
P08, Kwong Fuk & Plover    Cove ,"13,459 ",2015
P09, Wang Fuk,"12,744 ",2015
P10, Tai Po Kau ,"19,556 ",2015
P11, Wan Tau Tong ,"17,024 ",2015
P12, San Fu,"16,714 ",2015
P13, Lam Tsuen Valley,"21,098 ",2015
P14, Po Nga ,"14,902 ",2015
P15, Tai Wo ,"15,623 ",2015
P16, Old Market &    Serenity ,"15,455 ",2015
P17, Hong Lok Yuen ,"20,783 ",2015
P18, Shuen Wan,"20,509 ",2015
P19, Sai Kung North ,"15,475 ",2015
Q01, Sai Kung Central,"11,755 ",2015
Q02, Pak Sha Wan,"18,728 ",2015
Q03, Sai Kung Islands,"13,103 ",2015
Q04, Hang Hau East,"15,821 ",2015
Q05, Hang Hau West,"15,591 ",2015
Q06, Po Yee,"16,781 ",2015
Q07, Wai King,"15,002 ",2015
Q08, Do Shin,"15,314 ",2015
Q09, Kin Ming,"16,592 ",2015
Q10, Choi Kin,"19,908 ",2015
Q11, O Tong,"18,262 ",2015
Q12, Fu Kwan,"19,951 ",2015
Q13, Kwan Po,"13,726 ",2015
Q14, Nam On,"17,506 ",2015
Q15, Hong King,"20,623 ",2015
Q16, Tsui Lam,"16,311 ",2015
Q17, Po Lam,"16,722 ",2015
Q18, Yan Ying,"19,431 ",2015
Q19, Wan Hang,"21,169 ",2015
Q20, King Lam,"17,890 ",2015
Q21, Hau Tak,"18,253 ",2015
Q22, Fu Nam,"17,572 ",2015
Q23, Tak Ming,"19,323 ",2015
Q24, Sheung Tak,"18,356 ",2015
Q25, Kwong Ming,"18,555 ",2015
Q26, Wan Po North,"16,675 ",2015
Q27, Wan Po South,"16,570 ",2015
R01, Sha Tin Town Centre ,"19,821",2015
R02, Lek Yuen ,"16,442",2015
R03, Wo Che Estate ,"18,329",2015
R04, City One ,"15,824",2015
R05, Yue Shing ,"15,363",2015
R06, Wong Uk,"17,586",2015
R07, Sha Kok,"16,543",2015
R08, Pok Hong,"16,341",2015
R09, Jat Min,"20,609",2015
R10, Chun Fung ,"15,274",2015
R11, Sun Tin Wai,"17,028",2015
R12, Chui Tin,"15,432",2015
R13, Hin Ka,"13,242",2015
R14, Lower Shing Mun,"18,693",2015
R15, Wan Shing ,"20,693",2015
R16, Keng Hau,"20,452",2015
R17, Tin Sum,"14,986",2015
R18, Chui Ka,"16,045",2015
R19, Tai Wai,"20,765",2015
R20, Chung Tin,"15,032",2015
R21, Sui Wo,"13,191",2015
R22, Fo Tan,"16,960",2015
R23, Chun Ma,"14,491",2015
R24, Chung On,"20,910",2015
R25, Kam To,"20,813",2015
R26, Ma On Shan Town Centre,"18,206",2015
R27, Lee On,"16,354",2015
R28, Fu Lung,"16,979",2015
R29, Wu Kai Sha ,"16,346",2015
R30, Kam Ying,"17,726",2015
R31, Yiu On,"19,370",2015
R32, Heng On,"21,864",2015
R33, On Tai,"21,661",2015
R34, Tai Shui Hang ,"17,868",2015
R35, Yu Yan,"18,197",2015
R36, Bik Woo,"16,660",2015
R37, Kwong Hong,"18,016",2015
R38, Kwong Yuen,"13,883",2015
S01, Kwai Hing,"17,975 ",2015
S02, Kwai Shing East Estate,"18,253 ",2015
S03, Upper Tai Wo Hau,"12,957 ",2015
S04, Lower Tai Wo Hau,"13,301 ",2015
S05, Kwai Chung Estate North,"19,197 ",2015
S06, Kwai Chung Estate South,"20,793 ",2015
S07, Shek Yam,"21,347 ",2015
S08, On Yam,"16,044 ",2015
S09, Shek Lei South,"19,630 ",2015
S10, Shek Lei North,"21,330 ",2015
S11, Tai Pak Tin,"21,829 ",2015
S12, Kwai Fong,"17,652 ",2015
S13, Wah Lai,"16,655 ",2015
S14, Lai Wah,"14,771 ",2015
S15, Cho Yiu,"15,988 ",2015
S16, Hing Fong,"20,293 ",2015
S17, Lai King,"14,095 ",2015
S18, Kwai Shing West Estate,"18,254 ",2015
S19, On Ho,"20,850 ",2015
S20, Wai Ying,"19,576 ",2015
S21, Tsing Yi Estate,"17,201 ",2015
S22, Greenfield,"19,924 ",2015
S23, Cheung Ching,"18,733 ",2015
S24, Cheung Hong,"15,560 ",2015
S25, Shing Hong,"15,138 ",2015
S26, Tsing Yi South,"19,744 ",2015
S27, Cheung Hang,"13,616 ",2015
S28, Ching Fat,"18,267 ",2015
S29, Cheung On,"13,832 ",2015
T01, Lantau,"19,207 ",2015
T02, Yat Tung Estate North,"18,959 ",2015
T03, Yat Tung Estate South,"20,124 ",2015
T04, Tung Chung North,"22,450 ",2015
T05, Tung Chung South,"18,489 ",2015
T06, Discovery Bay,"13,390 ",2015
T07, Peng Chau & Hei Ling Chau,"7,376 ",2015
T08, Lamma & Po Toi,"6,183 ",2015
T09, Cheung Chau South,"11,108 ",2015
T10, Cheung Chau North,"11,082 ",2015
