,district_code,district_name,pop_estimate_2011,year
214,K15,Lei Muk Shue    West,13 905,2011
215,K16,Shek Wai Kok,13 529,2011
216,K17,Cheung Shek,13 351,2011
217,L01,Tuen Mun    Town Centre,17 174,2011
218,L02,Siu Chi ,20 882,2011
219,L03,Siu Tsui,21 598,2011
220,L04,On Ting,16 113,2011
221,L05,Yau Oi South,14 341,2011
222,L06,Yau Oi North,14 338,2011
223,L07,Tsui Hing,17 126,2011
224,L08,Shan King,18 418,2011
225,L09,King Hing,14 755,2011
226,L10,Hing Tsak,16 064,2011
227,L11,San Hui,16 857,2011
228,L12,Sam Shing,19    738,2011
229,L13,Hanford,20 091,2011
230,L14,Fu Sun,14 812,2011
231,L15,Yuet Wu,13 971,2011
232,L16,Siu Hei,13 139,2011
233,L17,Wu King,14 331,2011
234,L18,Butterfly,17 631,2011
235,L19,Lok Tsui,14 969,2011
236,L20,Lung Mun,19 195,2011
237,L21,San King,15 121,2011
238,L22,Leung King,14 473,2011
239,L23,Tin King,17    816,2011
240,L24,Po Tin,21 235,2011
241,L25,Kin Sang,16 318,2011
242,L26,Siu Hong,17 017,2011
243,L27,Prime View,19 573,2011
244,L28,Fu Tai,18 203,2011
245,L29,Tuen Mun Rural,22 958,2011
246,M01,Fung Nin,21 555,2011
247,M02,Shui Pin,17    682,2011
248,M03,Nam Ping,17    285,2011
249,M04,Pek Long,16    352,2011
250,M05,Yuen Long    Centre,20    183,2011
251,M06,Fung Cheung,20    421,2011
252,M07,Shap Pat Heung    North,21    514,2011
253,M08,Shap Pat Heung    South,22    673,2011
254,M09,Ping Shan South ,16    226,2011
255,M10,Ping Shan    North,22    258,2011
256,M11,Ha Tsuen,14    244,2011
257,M12,Tin Shing,22    771,2011
258,M13,Shui Oi,18    831,2011
259,M14,Shui Wah,18    181,2011
260,M15,Chung Wah,14    236,2011
261,M16,Yuet Yan,18    783,2011
262,M17,Fu Yan,20    458,2011
263,M18,Yat Chak,18    752,2011
264,M19,Tin Heng,22    228,2011
265,M20,Wang Yat,19    928,2011
266,M21,Ching King,17    983,2011
267,M22,Kingswood    North,22    901,2011
268,M23,Tsz Yau,21    596,2011
269,M24,Tin Yiu,20 410,2011
270,M25,Kingswood    South,19    399,2011
271,M26,Chung Pak,15    483,2011
272,M27,Fairview Park,15    425,2011
273,M28,San Tin,21    229,2011
274,M29,Kam Tin,10    324,2011
275,M30,Pat Heung    North,12    072,2011
276,M31,Pat Heung    South,16    151,2011
277,N01,Luen Wo    Hui,20 640,2011
278,N02,Fanling Town,20    263,2011
279,N03,Cheung Wah,17    929,2011
280,N04,Wah Do,19    077,2011
281,N05,Wah Ming,17    746,2011
282,N06,Yan Shing,21    372,2011
283,N07,Shing Fuk,18    787,2011
284,N08,Sheung Shui    Rural,21    385,2011
285,N09,Ching Ho,20    365,2011
286,N10,Yu Tai,13    027,2011
287,N11,Choi Yuen ,18    724,2011
288,N12,Shek Wu Hui,20    344,2011
289,N13,Tin Ping West,13    867,2011
290,N14,Fung Tsui,14    697,2011
291,N15,Sha Ta,16    327,2011
292,N16,Tin Ping East,18    849,2011
293,N17,Queen's Hill,19    533,2011
294,P01,Tai Po Hui,15 006,2011
295,P02,Tai Po Central,14    196,2011
296,P03,Chung Ting,15    335,2011
297,P04,Tai Yuen,14    808,2011
298,P05,Fu Heng,16    532,2011
299,P06,Yee Fu,16    796,2011
300,P07,Fu Ming Sun,14    371,2011
301,P08,Kwong Fuk    & Plover Cove,13    674,2011
302,P09,Wang Fuk,13    007,2011
303,P10,Tai Po Kau,14    219,2011
304,P11,Wan Tau Tong,17 657,2011
305,P12,San Fu,15    866,2011
306,P13,Lam Tsuen    Valley,20    933,2011
307,P14,Po Nga,16    030,2011
308,P15,Tai Wo,16    972,2011
309,P16,Old Market    & Serenity,15    185,2011
310,P17,Hong Lok Yuen,15    173,2011
311,P18,Shuen Wan,17    314,2011
312,P19,Sai Kung North,12    681,2011
313,Q01,Sai Kung    Central,12 944,2011
314,Q02,Pak Sha Wan,16    543,2011
315,Q03,Sai Kung    Islands,11    689,2011
316,Q04,Hang Hau East,15    734,2011
317,Q05,Hang Hau West,16    588,2011
318,Q06,Po Kwan,17    278,2011
319,Q07,Wai Do,22    862,2011
320,Q08,Kin Shin,20    548,2011
321,Q09,Choi Kin,19    584,2011
322,Q10,O    Tong ,16    974,2011
323,Q11,Fu Kwan,17    575,2011
324,Q12,Nam On,22    872,2011
325,Q13,Hong King,19    738,2011
326,Q14,Tsui Lam,17    757,2011
327,Q15,Po Lam,17    310,2011
328,Q16,Yan Ying,19    650,2011
329,Q17,Wan Hang,21    176,2011
330,Q18,King Lam,18 028,2011
331,Q19,Hau Tak,18    742,2011
332,Q20,Fu Nam,18    203,2011
333,Q21,Tak Ming,19 952,2011
334,Q22,Sheung Tak,19    252,2011
335,Q23,Kwong Ming,19    310,2011
336,Q24,Wan Po,14 572,2011
337,R01,Sha Tin    Town Centre,21 347,2011
338,R02,Lek Yuen,13    050,2011
339,R03,Wo Che Estate,18    586,2011
340,R04,City One,15    855,2011
341,R05,Yue Shing,15    197,2011
342,R06,Wong Uk,17    960,2011
343,R07,Sha Kok,15    057,2011
344,R08,Pok Hong,17    186,2011
345,R09,Jat Min,14    742,2011
346,R10,Chun Fung,13    630,2011
347,R11,Sun Tin Wai,17    281,2011
348,R12,Chui Tin,15    817,2011
349,R13,Hin Ka,13    639,2011
350,R14,Lower Shing    Mun,21    544,2011
351,R15,Keng Hau,19    896,2011
352,R16,Tin Sum,15    651,2011
353,R17,Chui Ka,16    077,2011
354,R18,Tai Wai,20    986,2011
355,R19,Chung Tin,19    651,2011
356,R20,Sui Wo,13    956,2011
357,R21,Fo Tan,16    982,2011
358,R22,Chun Ma,13    972,2011
359,R23,Chung On,21    288,2011
360,R24,Kam To,19    257,2011
361,R25,Ma On Shan    Town Centre,21    400,2011
362,R26,Lee On,21 309,2011
363,R27,Fu Lung,19 323,2011
364,R28,Kam Ying,19 443,2011
365,R29,Yiu On,17 127,2011
366,R30,Heng On,20 992,2011
367,R31,On Tai,20 562,2011
368,R32,Tai Shui Hang,18 338,2011
369,R33,Yu Yan,16 541,2011
370,R34,Bik Woo,20 526,2011
371,R35,Kwong Hong,12 950,2011
372,R36,Kwong Yuen,14 019,2011
373,S01,Kwai Hing,19 405,2011
374,S02,Kwai Shing    East Estate,18    384,2011
375,S03,Upper Tai Wo    Hau,12    990,2011
376,S04,Lower Tai Wo    Hau,14    028,2011
377,S05,Kwai Chung    Estate North,17    518,2011
378,S06,Kwai Chung    Estate Central,14    636,2011
379,S07,Shek Yam,21    136,2011
380,S08,On Yam,16    396,2011
381,S09,Shek Lei    Extension,18    881,2011
382,S10,Shek Lei,19    400,2011
383,S11,Tai Pak Tin,21    492,2011
384,S12,Kwai Fong,18    635,2011
385,S13,Wah Lai,16    136,2011
386,S14,Lai Wah,14    893,2011
387,S15,Cho Yiu,16    584,2011
388,S16,Hing Fong ,20    231,2011
389,S17,Lai King,14    638,2011
390,S18,Kwai Shing    West Estate,18    580,2011
391,S19,On Ho,21    260,2011
392,S20,Wai Ying,19    853,2011
393,S21,Tsing Yi    Estate,14    846,2011
394,S22,Greenfield ,19    334,2011
395,S23,Cheung Ching,19    097,2011
396,S24,Cheung Hong,18    515,2011
397,S25,Shing Hong,13 350,2011
398,S26,Tsing Yi South,19 175,2011
399,S27,Cheung Hang,13 669,2011
400,S28,Ching Fat,19 195,2011
401,S29,Cheung On,14 050,2011
402,T01,Lantau,19 169,2011
403,T02,Yat Tung Estate North,21    457,2011
404,T03,Yat Tung Estate South,17    712,2011
405,T04,Tung Chung North,22    048,2011
406,T05,Tung Chung South,18    558,2011
407,T06,Discovery Bay,17 560,2011
408,T07,Peng Chau & Hei Ling Chau,7 748,2011
409,T08,Lamma & Po Toi,6 095,2011
410,T09,Cheung Chau South,12 870,2011
411,T10,Cheung Chau North,12 769,2011
